Start Station Name,End Station Name,Count,Total Duration
du Parc-Lafontaine / Rachel,Métro St-Laurent (de Maisonneuve / St-Laurent),6,4008244
du Parc-Lafontaine / Rachel,Cartier / Marie-Anne,26,12264353
du Parc-Lafontaine / Rachel,Ste-Catherine / Union,3,3119522
du Parc-Lafontaine / Rachel,Square-Victoria (Viger / du Square-Victoria),20,21972303
du Parc-Lafontaine / Rachel,Masson / Molson,5,5933820
du Parc-Lafontaine / Rachel,Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),30,17019342
Fabrik8 (Waverly / Jean-Talon),Métro Beaubien (de St-Vallier / Beaubien),18,10514221
du Parc-Lafontaine / Rachel,Métro Laurier (Berri / St-Joseph),13,7943822
du Parc-Lafontaine / Rachel,Garnier / Beaubien,8,11074768
du Parc-Lafontaine / Rachel,Place du Canada (Peel / des Canadiens-de-Montréal),2,2586291
du Parc-Lafontaine / Rachel,CHSLD Robert Cliche (de Bellechasse / 16e avenue),3,6382613
Fabrik8 (Waverly / Jean-Talon),Christophe-Colomb / Beaubien,14,10011194
Fabrik8 (Waverly / Jean-Talon),Fabrik8 (Waverly / Jean-Talon),12,208621730
du Parc-Lafontaine / Rachel,Lajeunesse / Villeray,3,4148172
du Parc-Lafontaine / Rachel,des Érables / Rachel,26,69850852
du Parc-Lafontaine / Rachel,Berri / Rachel,25,8072996
du Parc-Lafontaine / Rachel,Molson / William-Tremblay,15,13190706
du Parc-Lafontaine / Rachel,de Maisonneuve / Fullum,19,16136030
du Parc-Lafontaine / Rachel,des Pins / St-Laurent,13,10619275
Parc de Turin (de Lanaudière / Jean-Talon),Marché Jean-Talon (Casgrain / Shamrock),3,1306052
Parc de Turin (de Lanaudière / Jean-Talon),Parc du Père-Marquette (de Bellechasse / de Lanaudière),1,601015
Parc de Turin (de Lanaudière / Jean-Talon),15e avenue / Laurier,1,1396122
Parc de Turin (de Lanaudière / Jean-Talon),St-Urbain / Laurier,1,1050494
Parc de Turin (de Lanaudière / Jean-Talon),Métro Mont-Royal (Utilités publiques / Rivard),2,2127617
Parc de Turin (de Lanaudière / Jean-Talon),Marquette / des Carrières,2,4019885
Parc de Turin (de Lanaudière / Jean-Talon),BIXI K5,5,4521595
Parc de Turin (de Lanaudière / Jean-Talon),Cartier / Marie-Anne,1,1373011
Parc de Turin (de Lanaudière / Jean-Talon),Parc de Turin (de Lanaudière / Jean-Talon),3,2074647
Parc de Turin (de Lanaudière / Jean-Talon),Métro Crémazie (Crémazie / Lajeunesse),3,2258331
Parc de Turin (de Lanaudière / Jean-Talon),Laurier / St-Denis,1,1100862
Parc de Turin (de Lanaudière / Jean-Talon),Christophe-Colomb / Beaubien,2,2328700
Parc de Turin (de Lanaudière / Jean-Talon),Lajeunesse / Villeray,1,412217
Parc de Turin (de Lanaudière / Jean-Talon),des Érables / Rachel,1,1761275
Parc de Turin (de Lanaudière / Jean-Talon),Garnier / du Mont-Royal,1,1133797
Parc de Turin (de Lanaudière / Jean-Talon),St-Viateur / Casgrain,2,1749618
Parc de Turin (de Lanaudière / Jean-Talon),Jacques-Casault / Christophe-Colomb,1,560954
Parc de Turin (de Lanaudière / Jean-Talon),St-Antoine / Jean-Paul Riopelle,1,2113891
Parc de Turin (de Lanaudière / Jean-Talon),Laurier / de Brébeuf,1,1126571
Ste-Catherine / Bishop,St-Laurent / Pl. du Marché,14,21266262
Ste-Catherine / Bishop,Marché Jean-Talon (Casgrain / Shamrock),1,2159966
Ste-Catherine / Bishop,Métro Lionel-Groulx (St-Jacques / Atwater),5,8258065
Ste-Catherine / Bishop,Fullum / Marie-Anne,1,1516414
Marché St-Jacques (Atateken),6e Avenue / Bélanger,1,2234941
